Ref,Val,Package,PosX,PosY,Rot,Side
"Q1","BS170F","SOT-23",-25.550000,-113.800000,-90.000000,bottom
"Q2","IRLML6244","SOT-23",-23.550000,-125.550000,-90.000000,bottom
"R1","R_US","R_0805_2012Metric",-26.565000,-107.750000,-90.000000,bottom
"R2","R_US","R_0805_2012Metric",-25.150000,-110.600000,180.000000,bottom
"R3","R_US","R_0805_2012Metric",-22.700000,-114.562500,-90.000000,bottom
"U1","SFH6206-2T","SMDIP-4_W9.53mm_Clearance8mm",-34.265000,-112.620000,0.000000,bottom
"U2","MCP1825s33","SOT-223-3_TabPin2",-28.600000,-120.300000,-90.000000,bottom
"U3","PIC12F1840-IP","SOIC-8_3.9x4.9mm_P1.27mm",-34.700000,-121.300000,90.000000,bottom
